,host,app,app count,Forcepoint ThreatSeeker,sophos,Comodo Valkyrie Verdict,BitDefender,alphaMountain.ai,Webroot,Dr.Web,Websense ThreatSeeker,Alexa,TrendMicro
150,mads.amazon-adsystem.com,"""{'cn.amazon.mShop.android'", 'com.amazon.kindle',advertisements,advertisements,shopping,computersandsoftware,,,,,,
151,mboxedge38.tt.omtrdc.net,"""{'com.marvel.unlimited'", 'com.adobe.lrmobile',web analytics,information technology,media sharing,,,,,,,
152,openinstall.io,"""{'com.xiaou.mobile'", 'com.mop.activity',information technology,information technology,,,,,,,,
153,notify.bugsnag.com,"""{'com.mobility_trader_gmbh.heycar'", 'com.pembepanjur',information technology,information technology,,computersandsoftware,,,,,,
154,aax-fe.amazon-adsystem.com,"""{'com.ninegag.android.app'", 'org.zwanoo.android.speedtest',advertisements,advertisements,,computersandsoftware,"Ads/Analytics, Business/Economy, Information Technology",,,,,
155,www.startappexchange.com,"""{'com.sweetsugar.fastinternetboosterfree'", 'com.gearnbulb.decor',advertisements,information technology,computing & technology,,,Business and Economy,,,,
156,www.google-analytics.com,"""{'com.diskdefragmenter'", 'net.hubalek.android.gaugebattwidget.pro',web analytics,information technology,,computersandsoftware,,,,,,
157,show-m.mediav.com,"""{'com.bhu.wifioverlook'", 'com.mogubrowser',information technology,information technology,marketing & merchandising,business,,Business and Economy,,,,
158,track.mediav.com,"""{'com.mfcdxiaoshuo.book'", 'com.bhu.wifioverlook',advertisements,information technology,,business,,,,,,
159,show.m.mediav.com,"""{'com.android.military.wikipedia'", 'com.android.car.wikipedia',information technology,information technology,,business,,,,,,
160,adapi.mobcent.com,"""{'com.appbyme.app105941'", 'com.appbyme.app107992',information technology,,,parked,,,,,,
161,interval.adbc.renren.com,"""{'com.qqhe.mathm4'", 'com.qqhe.yuwenm3',social networking,blogs and forums,,socialnetworks,,,social networks,,,
162,trackdownload.startappservice.com,"""{'com.aiTeam.logoMakers'", 'all.kar2',advertisements,information technology,,,,,,,,
163,sdk.xwuad.com,"""{'com.shuqi.controller'", 'com.UCMobile',,content delivery,,misc,,,,,,
164,sdkrec.tf.360.cn,"""{'com.qihoo360.ludashi.cooling'", 'com.qihoo.browser',,,,,,,,,,
165,sdk.mobad.ijinshan.com,"""{'com.cleanmaster.security_cn'", 'com.ijinshan.kbatterydoctor',information technology,information technology,media sharing,computersandsoftware,,,,,,
166,ibestfanli.com,"""{'com.palmtop.android'", 'com.xmiles.callshow',,,,,,,,,,
167,mobilelog.kugou.com,"""{'com.kugou.android.ringtone'", 'com.kugou.shiqutouch',entertainment,entertainment,media sharing,,,,,,,
168,service.ad.adesk.com,"""{'com.androidesk'", 'com.lovebizhi.wallpaper',advertisements,,,,,,,,,
169,qbugreport.html5.qq.com,"""{'com.androidesk'", 'android.com.seawave',,,,,,,,,,
170,com.api.doupingit.com,"""{'com.doupin.show'", 'com.zhinengremote.mohan',,,media sharing,,,,,,,
171,ylog.huya.com,"""{'com.duowan.kiwi'", 'com.huya.fig',streaming media,games,,marketing,,,,,,
172,c.adx.2345.com,"""{'com.daohang2345'", 'com.browser2345',search engines and portals,portal sites,,searchengines,,,,,,
173,open.snssdk.com,"""{'com.bullet.messenger'", 'com.droi.adocker.pro',entertainment,entertainment,media sharing,,,,,,,
174,passport.baidu.com,"""{'com.baidu.yuedu'", 'com.baidu.yunapp',search engines and portals,search engines,,ads,"Ads/Analytics, Search Engines/Portals",,,,,
175,sofire.baidu.com,"""{'com.baidu.haokan'", 'com.baidu.yunapp',search engines and portals,search engines,,searchengines,,,,,,
176,crystal.miguvideo.com,"""{'com.haobo.huilife'", 'com.sinovatech.gxmobile.ui',entertainment,entertainment,,,,,,,,
177,adstats.mgc-games.com,"""{'com.wochacha'", 'com.sencent.mm',,,media sharing,,,,,,,
178,ad.wsljf.xyz,"""{'com.bd.remote.control'", 'com.wifi.treasure',elevated exposure,,,,,Parked Domains,,,,
179,aidataprobe2.openxiaoniu.com,"""{'com.xiaoniu.cleanking'", 'com.xiaoniu.fenghongmao',,,,,,,,,,
180,report.adview.cn,"""{'com.roamingsoft.manager'", 'net.goso.fileexplorer',business and economy,,media sharing,ads,,,,,,
181,tpc-info.kakamobi.cn,"""{'cn.mucang.kaka.android'", 'com.handsgo.jiakao.android',pay-to-surf,,media sharing,,,,,,,
182,update.kakamobi.com,"""{'cn.mucang.kaka.android'", 'com.handsgo.jiakao.android',business and economy,,,,,Computer and Internet Info,,,,
183,ws.ksmobile.net,"""{'com.leixun.taofen8'", 'com.thinkyeah.galleryvault',information technology,information technology,,im,,,,,,
184,btrace.qq.com,"""{'com.cctv.yangshipin.app.androidp'", 'com.tencent.qqsports',search engines and portals,portal sites,media sharing,portals,,,,,,
185,catdot.dianping.com,"""{'com.dianping.v1'", 'com.sankuai.meituan.pai',society and lifestyles,general business,,travel,,,,,,
186,adopt-sdk.xg.tagtic.cn,"""{'com.donews.firsthot'", 'com.wanmei.a9vg',financial data and services,information technology,media sharing,,,,,,,
187,adopt.xg.tagtic.cn,"""{'com.donews.firsthot'", 'com.wanmei.a9vg',financial data and services,information technology,media sharing,,,,,,,
188,g1.tagtic.cn,"""{'com.donews.firsthot'", 'com.wanmei.a9vg',financial data and services,information technology,,,,,,,,
189,adlog.tagtic.cn,"""{'com.donews.firsthot'", 'com.wanmei.a9vg',financial data and services,information technology,,,,,,,,
190,tcmobileapi.17usoft.com,"""{'com.tongcheng.android'", 'com.elong.hotel.ui',business and economy,general business,,,,,,,,
191,ad.agrantsem.com,"""{'com.zol.android'", 'com.huaban.android',advertisements,general business,media sharing,business,,,,,,
192,mon.snssdk.com,"""{'com.ss.android.article.lite'", 'com.ss.android.article.news',,,,,,,,,,
193,misc-pili-qos-report.qiniuapi.com,"""{'com.artron.toutiao'", 'com.huxiu',information technology,general business,,business,,,,,,
194,api.bugfender.com,"""{'com.aimdate.thaiflirting'", 'com.ivive',hosted business applications,information technology,media sharing,,,,,,,
195,tj.youzanyun.com,"""{'com.seblong.idream'", 'com.bobo.splayer',business and economy,financial services,media sharing,,,,,,,
196,nd.mdfull.com,"""{'com.aipai.paidashi'", 'com.huaban.android',business and economy,,,misc,,,,,,
197,221.238.80.74,"""{'com.sinyee.babybus.hideandseek'", 'com.bookask.main',,,unknown,,,,,,,
198,log.ireader.com,"""{'com.chaozh.iReaderFree'", 'com.huawei.hwireader',,,,,,,,,,
199,imgx.mediav.com,"""{'com.shiqichuban.android'", 'com.gonlan.iplaymtg',information technology,information technology,media sharing,business,,,,,,
200,account.meitu.com,"""{'com.mt.mtxx.mtxx'", 'com.meitu.makeup',business and economy,online shopping,,computersandsoftware,,Business and Economy,,,,
201,rabbit.tg.meitu.com,"""{'com.meitu.wheecam'", 'com.meitu.makeup',business and economy,,media sharing,computersandsoftware,,,,,,
202,newsfeed.miniclippt.com,"""{'com.miniclip.eightballpool'", 'com.miniclip.footballstrike',games,games,media sharing,,,,,,,
203,goupdate.3g.cn,"""{'com.gau.go.launcherex'", 'com.gau.go.toucherpro',information technology,information technology,public information,computersandsoftware,,Business and Economy,,,,
204,service.fyber.com,"""{'es.socialpoint.DragonCity'", 'com.vng.g6.a.zombie',,,,,,,,,,
